,f1,f2,f3,f4
97,5.51315423,2.3,1.3,0.3
98,5.1,3.8,1.9,0.4
99,6.1,2.9,5.06562977,1.4
100,5.6,2.613043113,3.6,1.3
101,6.7,3.1,4.4,1.4
102,7.114635736,2.5,3.9,1.923120951
103,7.487918276,3.2,6.054322184,1.8
104,5.4,3,6.018331304,1.5
105,6.1,3,4.6,1.241744215
106,5.8,4.365885734,4,2.096288825
107,7.656446364,3,4.2,1.2
108,6.2,2.347761843,4.3,1.3
109,7.6,3,6.6,2.123274714
110,5.619077776,2.5,4.776150484,1.7
111,6.7,3.467183297,1.23660029,1.8
112,7.7,4.0310648,6.7,2.024586232
113,6.3,3.4,5.6,2.4
114,6.9,3.1,5.4,2.1
115,6.7,3.1,5.6,2.4
116,6.8,2.638819869,5.9,2.3
117,6.7,3.3,5.7,1.845413057
118,4.4,3.2,1.3,0.2
119,6,2.2,5,1.5
120,4.6,3.4,1.4,0.487050706
121,5.4,4.143075584,1.5,0.2
122,5.7,3.8,1.7,0.3
123,5.1,4.219546057,1.5,0.3
124,4.9,2.975296879,2.565350768,0.1
125,4.9,3.1,2.422730751,0.1
126,4.4,3,2.28483868,0.2
127,5.1,3.8,1.6,0.2
128,5.417992252,2.8,4.5,1.3
129,5.2,2.7,3.9,1.4
130,5,2,3.5,1
131,5.9,3,4.2,0.153815676
132,5.5,2.004849136,3.8,1.1
133,5.6,3,4.1,1.3
134,5.5,2.5,4,1.3
135,5.1,2.5,3,1.1
136,7.245328207,2.8,4.01244466,1.3
137,6.3,2.9,3.045480814,1.8
138,6.6704932,3.6,6.1,2.5
139,4.716314082,2.5,5,1.971783349
140,7.2,3,5.8,1.6
141,7.4,2.8,6.1,1.9
142,7.9,3.8,6.4,2
143,5.8,2.7,5.1,1.606085766
144,5.658751924,3,5.2,2.3
145,6.3,2.052517368,5,1.9
146,4.9,3.271224335,1.5,0.1
147,6.927712356,3.5,3.399278945,2.000858752
148,6.5,2.8,4.6,1.5
149,7.7,2.6,6.9,0.414092245
