f1,f2,f3,f4,o
5.77933928,2.7,1.223223216,1.3,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.3,3.3,6,1.897556723,Iris-virginica
5.8,3.102360143,5.1,1.9,Iris-virginica
6.4,2.7,5.3,2.239112315,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
5.6,2.8,3.090615293,2,Iris-virginica
6.1,2.6,2.952799834,1.4,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
6,2.9,4.5,1.5,Iris-versicolor
6,3.4,4.5,1.6,Iris-versicolor
6.5,3,5.5,2.471978511,Iris-virginica
5.076894152,2.8,4.8,1.8,Iris-virginica
5,3.6,1.4,0.2,Iris-setosa
4.8,3.4,1.922103706,0.2,Iris-setosa
5.4,3.458789911,1.3,0.4,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa
5.2,3.4,6.865982349,0.2,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
5.1,3.8,1.9,0.4,Iris-setosa
6.1,2.01178536,4.7,2.087037127,Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor
6.925048563,3.1,4.4,1.4,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor
5.4,3,4.5,1.5,Iris-versicolor
6.1,2.541449771,4.6,1.4,Iris-versicolor
5.8,2.6,4,1.2,Iris-versicolor
5.7,3,2.875111775,1.2,Iris-versicolor
6.2,2.9,4.3,1.442514106,Iris-versicolor
7.6,3,6.6,2.1,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.7,2.8,6.7,2,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
6.8,3.2,5.9,0.894690214,Iris-virginica
4.658761372,3.3,5.7,2.5,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
5.675089585,2.2,5,1.5,Iris-virginica
