idx,f1,f2,f3,f4,f5,f6,f7,f8
49,0.27,0.36,0.472173273,0.33,0.5,0,0.37,0.31
50,0.35,0.4,0.59,0.22,0.5,0,0.47,0.37
51,0.83,0.58,0.33,0.04,0.5,0,0.014218626,0.22
52,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3
53,0.55,0.656314057,0.53,0.11,0.5,0,0.52,0.48
54,0.92,0.61,0.4,0.22,0.5,0,0.54,0.22
55,0.55,0.56,0.45,0.14,0.5,0,0.54,0.22
56,0.63,0.61,0.41,0.22,0.5,0,0.51,0.22
57,0.630087842,0.38,0.45,0.19,0.5,0,0.51,0.22
58,0.77,0.8,0.849686983,0.4,1,0,0.54,0.22
59,0.57,0.61,0.45,0.982824786,0.5,0,0.5,0.715968473
60,0.25,0.4,0.51,0.18,0.5,0,0.5,0.27
61,0.54,0.57,0.52,0.812371436,0.5,0,0.59,0.17287116
62,0.42,0.52,0.4,0.17,0.900824545,0,0.5,0.26
63,0.91,0.77,0.34,0.47,0.5,0,0.364715702,0.31
64,0.41,0.39,0.51,0.52,0.5,0,0.49,0.22
65,0.69,0.6,0.5,0.809826485,0.5,0,0.55,0.22
66,0.55,0.66,0.57,0.32,0.5,0,0.57,0.34
67,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27
68,0.31,0.31,0.54,0.18,0.5,0,0.52,0.29
69,0.91,0.69,0.57,0.91642359,0.5,0,0.56,0.22
70,0.59,0.43,0.52,0.19,0.5,0,0.55,0.27
71,0.49,0.31,0.34,0.13,0.5,0,0.52,0.22
72,0.58,0.48,0.56,0.1,0.5,0,0.720565632,0.25
73,0.58,0.48,0.56,0.12,0.5,0,0.46,0.25
74,0.58,0.45,0.48,0.643272482,0.5,0,0.52,0.37
75,0.41,0.6,0.53,0.203086865,0.5,0,0.47,0.43
76,0.69,0.5,0.49,0.42,0.5,0,0.49,0.22
77,0.21,0.38,0.49,0.16,0.5,0,0.51,0.45
78,0.46,0.57,0.57,0.15,0.5,0,0.52,0.26
79,0.57,0.59,0.5,0.58,0.5,0,0.53,0.22
80,0.44,0.42,0.62,0.673830954,0.5,0,0.55,0.37
81,0.39,0.39,0.55,0.52,0.5,0,0.37,0.16
82,0.51,0.48,0.58,0.22,0.766414756,0,0.5,0.28
83,0.53,0.53,0.53,0.17,0.654560074,0,0.49,0.37
84,0.32,0.34,0.61,0.17,0.708386069,0,0.52,0.32
85,0.41,0.43,0.5,0.28,0.5,0,0.5,0.22
86,0.49,0.4,0.34,0.26,0.5,0,0.5,0.22
87,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22
88,0.53,0.56,0.49,0.46,0.712094016,0,0.52,0.22
89,0.51,0.52,0.48,0.5,0.5,0,0.51,0.22
90,0.45,0.761560413,0.53,0.74,0.5,0,0.47,0.25
91,0.47,0.63,0.66,0.45,0.5,0,0.37,0.11
92,0.56,0.45,0.59,0.14,0.5,0,0.51,0.26
93,0.5,0.46,0.42,0.32,0.5,0,0.56,0.833275567
94,0.81,0.76,0.32,0.015863341,0.5,0,0.51,0.22
95,0.42,0.25,0.6,0.14,0.5,0,0.45,0.22
96,0.67,0.63,0.34,0.41,0.5,0,0.6,0.33
97,0.57,0.49,0.48,0.16,0.5,0,0.51,0.27883137
98,0.43,0.32,0.56,0.27,0.5,0,0.47,0.27
99,0.84,0.87,0.45,0.54,0.5,0,0.28,0.22
100,0.89,0.82,0.44380165,0.49,0.5,0,0.55,0.22
101,0.37,0.55,0.29,0.32,0.5,0,0.51,0.22
102,0.52,0.48,0.54,0.28,0.5,0.124882618,0.54,0.22
103,0.52,0.62,0.54,0.19,0.5,0,0.5,0.22
104,0.46,0.4,0.38,0.18,0.5,0,0.49,0.22
105,0.5,0.45,0.48,0.17,0.5,0,0.5,0.26
106,0.39,0.37,0.33,0.23,0.5,0,0.52,0.26
107,0.41,0.41,0.51,0.19,0.5,0,0.57,0.22
108,0.5,0.49,0.52,0.2,0.993941026,0,0.43,0.52
109,0.32,0.47,0.55,0.25,0.5,0,0.49,0.22
110,0.49,0.48,0.46,0.63,0.5,0,0.52,0.22
111,0.34,0.54,0.54,0.13,0.5,0,0.52,0.22
112,0.43,0.83,0.55,0.2,0.593330432,0,0.47,0.4
113,0.36,0.4,0.53,0.049686009,0.5,0,0.48,0.22
114,0.57,0.4,0.62,0.3,0.5,0,0.48,0.11
115,0.42,0.53,0.53,0.64,0.5,0,0.47,0.22
116,0.41,0.52,0.53,0.41,0.5,0,0.39,0.33
117,0.58,0.52,0.61,0.33,0.5,0,0.38,0.11
118,0.64,0.64,0.56,0.21,0.5,0,0.5,0.22
119,0.53,0.52,0.61,0.35,0.5,0,0.5,0.22
120,0.55,0.59,0.47,0.64,0.5,0,0.54,0.33
121,0.54,0.64,0.5,0.13,0.5,0,0.49,0.22
122,0.76,0.76,0.35,0.27,0.5,0,0.44,0.22
123,0.49,0.44,0.45,0.55,0.5,0,0.105823807,0.22
124,0.63,0.47,0.56,0.12,0.5,0,0.5,0.22
125,0.51,0.65,0.868672572,0.19,0.5,0,0.49,0.22
126,0.42,0.28,0.57,0.18,0.5,0,0.42,0.22
127,0.45,0.41,0.58,0.48,0.5,0,0.53,0.64
128,0.9,0.54,0.59,0.2,0.5,0,0.48,0.22
129,0.67768747,0.59,0.54,0.700360753,0.5,0,0.41,0.3
130,0.69,0.62,0.49,0,1,0,0.47,0.545803031
131,0.43,0.38,0.38,0.12,0.5,0,0.5,0.22
132,0.39,0.42,0.497093046,0.1,0.5,0,0.49,0.65
133,0.85082054,0.28,0.54,0.14,0.5,0,0.59,0.22
134,0.49,0.27,0.57,0.18,0.5,0.83,0.54,0.22
135,0.64,0.52,0.5,0.26,0.5,0,0.51,0.31
136,0.6,0.585920751,0.54,0.53,0.5,0,0.52,0.27
137,0.49,0.834461002,0.53,0.16,0.5,0,0.49,0.31
138,0.52,0.46,0.51,0.18,0.5,0,0.5,0.22
139,0.55,0.59,0.52,0.1,0.5,0,0.53,0.22
140,0.692412928,0.38,0.45,0.19,0.5,0,0.54,0.37
141,0.41,0.48,0.38,0.13,0.5,0,0.51,0.35
142,0.51,0.46,0.49,0.21,0.5,0,0.55,0.22
143,0.4,0.36,0.55,0.15,0.5,0,0.53,0.682083558
144,0.59,0.58,0.47,0.61,0.5,0,0.44,0.3
145,0.62,0.43,0.49,0.29,0.5,0,0.5,0.27
146,0.48,0.42,0.48,0.19,0.5,0,0.58,0.22
147,0.47,0.61,0.5,0.23,0.5,0,0.49,0.22
148,0.27,0.56,0.3,0.14,0.5,0,0.52,0.39
149,0.38,0.48,0.51,0.13,0.5,0,0.5,0.32
150,0.49,0.71,0.54,0.13,0.5,0,0.58,0.22
151,0.63,0.55,0.53,0.51,0.5,0,0.55,0.22
152,0.56,0.48,0.5,0.17,0.5,0,0.51,0.26
153,0.62,0.41,0.52,0.17,0.5,0,0.48,0.22
154,0.35,0.47,0.53,0.19,0.5,0,0.219367801,0.22
155,0.6,0.59,0.603807544,0.831991331,0.5,0,0.53,0.22
156,0.33,0.28,0.5,0.4,0.5,0,0.46,0.61
157,0.45,0.54,0.49,0.29,0.5,0,0.49,0.25
158,0.41,0.52,0.56,0.26,0.5,0,0.48,0.32
159,0.59,0.47,0.51,0.53,0.5,0.004813693,0.53,0.26
160,0.57,0.707024994,0.52,0.16,0.5,0.678394119,0.49,0.39
161,0.64,0.44,0.51,0.35,0.5,0,0.53,0.22
162,0.45,0.43,0.5,0.25,0.5,0,0.47,0.22
163,0.794157631,0.36,0.64,0.37,0.5,0,0.37,0.33
164,0.610166642,0.44,0.64,0.19,0.5,0,0.38,0.33
165,0.61,0.38,0.57,0.36,0.5,0,0.44,0.21
166,0.35,0.41,0.53,0.27,0.5,0,0.47,0.29
167,0.4,0.3,0.57,0.13,0.5,0,0.46,0.22
168,0.44,0.5,0.55,0.24,0.5,0,0.48,0.22
169,0.37,0.45,0.53,0.14,0.5,0,0.49,0.22
170,0.37,0.3,0.51,0.15,0.5,0,0.58,0.26
171,0.57,0.43,0.52,0.3,0.5,0,0.37,0.11
172,0.44,0.56,0.52,0.18,0.5,0,0.5,0.11
173,0.36,0.56,0.52,0.18,0.5,0,0.45,0.16
174,0.72,0.37,0.63,0.38,0.5,0,0.4,0.14
175,0.44,0.36,0.64,0.45,0.5,0,0.53,0.11
176,0.34,0.34,0.65,0.4,0.5,0,0.32,0.16
177,0.54,0.44,0.55,0.48,0.5,0,0.47,0.22
178,0.69,0.998615696,0.55,0.23,0.5,0,0.73,0.22
179,0.46,0.39,0.54,0.22,0.5,0,0.48,0.25
180,0.46,0.39,0.54,0.22,0.5,0,0.48,0.25
181,0.42,0.5,0.64,0.13,0.5,0,0.49,0.22
182,0.38,0.5,0.52,0.44,0.5,0,0.54,0.11
183,0.51,0.743280622,0.58,0.17,0.5,0,0.47,0.28
184,0.6,0.57,0.52,0.14,0.5,0,0.46,0.48
185,0.56,0.65,0.92551707,0.56,0.5,0,0.49,0.22
186,0.54,0.64,0.4,0.56,0.5,0,0.51,0.772952124
187,0.6,0.51,0.49,0.18,0.5,0,0.53,0.38
188,0.34,0.46,0.52,0.19,0.5,0,0.53,0.984485405
189,0.44,0.71,0.5,0.21,0.5,0,0.54,0.27
190,0.56,0.49,0.32,0.22,0.5,0,0.5,0.22
191,0.44,0.51,0.53,0.3,0.5,0,0.53,0.22
192,0.52,0.55,0.39,0.09,1,0,0.55,0.25
193,0.85,0.69,0.34,0.31,0.5,0,0.57,0.3
194,0.47,0.56,0.53,0.44,0.5,0,0.53,0.22
195,0.45,0.41,0.53,0.49,0.5,0,0.49,0.31
196,0.56,0.55,0.57,0.15,0.5,0,0.54,0.25
197,0.37,0.47,0.49,0.12,0.5,0.764253373,0.47,0.31
198,0.32,0.6,0.48,0.13,0.5,0,0.53,0.22
199,0.48,0.55,0.58,0.18,0.5,0,0.494131078,0.69
200,0.618732935,0.5,0.51,0.26,0.5,0,0.52,0.22
201,0.6,0.64,0.56,0.36,0.5,0,0.46,0.27
202,0.27,0.41,0.24,0.715167811,0.5,0,0.49,0.22
203,0.25,0.35,0.22,0.18,0.5,0,0.46,0.22
204,0.39,0.45,0.51,0.29,0.5,0,0.54,0.22
205,0.66,0.43,0.57,0.6,0.5,0,0.19,0.33
206,0.51,0.5,0.54,0.11,0.5,0,0.6,0.22
207,0.5,0.45,0.51,0.19,0.5,0,0.53,0.25
208,0.44,0.43,0.46,0.28,0.5,0,0.45,0.29
209,0.32,0.68,0.51,0.16,0.5,0.83,0.55,0.22
210,0.73,0.52,0.59,0.25,0.5,0,0.51,0.22
211,0.49,0.6,0.54,0.35,0.5,0,0.53,0.46
212,0.49,0.6,0.42,0.18,0.5,0,0.58,0.28
213,0.53,0.48,0.51,0.18,0.5,0,0.51,0.27
214,0.49,0.31,0.43,0.24,0.5,0,0.54,0.22
215,0.46,0.41,0.43,0.18,0.965523216,0,0.54,0.22
216,0.32,0.36,0.28,0.38,0.5,0,0.5,0.4
217,0.45,0.57,0.52,0.21,0.5,0,0.54,0.38
218,0.39,0.39,0.65,0.16,0.5,0,0.45,0.22
219,0.41,0.35,0.6,0.22,0.5,0,0.56,0.79
220,0.41,0.39,0.61,0.17,0.5,0,0.5,0.61
221,0.54,0.67,0.56,0.15,0.5,0,0.57,0.33
222,0.735305775,0.59,0.65,0.14,0.5,0,0.49,0.33
223,0.47,0.38,0.5,0.15,0.5,0,0.49,0.47
224,0.42,0.5,0.59,0.17,0.5,0,0.51,0.22
225,0.55,0.69,0.51,0.12,0.5,0,0.51,0.22
226,0.47,0.46,0.53,0.12,0.5,0,0.51,0.25
227,0.57,0.29,0.63,0.070393128,0.5,0,0.49,0.27
228,0.41,0.705821196,0.53,0.17,0.903245569,0,0.48,0.58
229,0.42,0.45,0.75,0.21,0.5,0,0.48,0.22
230,0.63,0.54,0.53,0.27,0.5,0,0.49,0.22
231,0.4,0.44,0.5,0.13,0.5,0,0.127930461,0.39
232,0.55,0.39,0.39,0.47,0.5,0,0.5,0.83
233,0.57,0.36,0.51,0.25,0.5,0,0.54,0.25
234,0.45,0.215596037,0.51,0.25,0.5,0,0.59,0.22
235,0.59,0.64,0.44,0.26,0.5,0,0.5,0.22
236,0.53,0.42,0.53,0.19,0.5,0,0.47,0.22
237,0.59,0.46,0.55,0.17,0.607830908,0,0.52,0.25
238,0.46,0.47,0.62,0.3,0.5,0,0.38,0.22
239,0.59,0.7,0.46,0.19,0.5,0,0.54,0.44
240,0.53,0.44,0.54,0.52,0.643707107,0,0.49,0.38
241,0.4,0.28,0.58,0.44,0.5,0,0.41,0.22
242,0.44,0.35,0.55,0.14,0.5,0,0.52,0.22
243,0.48,0.49,0.49,0.193671611,0.5,0,0.39,0.27
244,0.65,0.389940864,0.309586455,0.22,0.5,0,0.52,0.27
245,0.49,0.53,0.36,0.15,0.5,0,0.52,0.27
246,0.71,0.79,0.41,0.38,0.5,0,0.54,0.22
247,0.900470644,0.3,0.37,0.15,0.5,0,0.53,0.25
248,0.4,0.44,0.47,0.25,0.5,0,0.54,0.56
249,0.29,0.39,0.46,0.36,0.5,0,0.51,0.22
250,0.43,0.6,0.4,0.12,0.5,0,0.49,0.29
251,0.65,0.859206092,0.26,0.33,0.5,0,0.55,0.22
252,0.3,0.68,0.41,0.17,0.5,0,0.51,0.22
253,0.69,0.57,0.895473475,0.19,0.5,0,0.48,0.39
254,0.51,0.38,0.42,0.21,0.5,0,0.46,0.34
255,0.54,0.54,0.56,0.18,0.5,0,0.46,0.29
256,0.71,0.64,0.42,0.28,0.5,0,0.43,0.22
257,0.58,0.44,0.45,0.32,0.5,0,0.52,0.37
258,0.948083569,0.58,0.47,0.17,0.5,0,0.53,0.74
259,0.38,0.37,0.36,0.14,0.5,0,0.54,0.22
260,0.4,0.4,0.44,0.37,0.5,0,0.53,0.25
261,0.8,0.79,0.43,0.25,0.996871911,0,0.52,0.22
262,0.49,0.56,0.37,0.2,0.5,0,0.53,0.22
263,0.49,0.55,0.35,0.23,0.5,0,0.57,0.22
264,0.47,0.5,0.6,0.63,0.719899066,0,0.38,0.16
265,0.58,0.67,0.49,0.16,0.5,0,0.47,0.28
266,0.85,0.85,0.3,0.31,0.5,0,0.55,0.712815147
267,0.41,0.25,0.59,0.44,0.5,0,0.6,0.69
268,0.57,0.59,0.49,0.86,0.5,0,0.47,0.22
269,0.5,0.61,0.44,0.2,0.5,0,0.49,0.22
270,0.41,0.45,0.46,0.23,0.5,0,0.5,0.7
271,0.32,0.29,0.505402387,0.08,0.825012881,0,0.193340925,0.978466579
272,0.38,0.48,0.57,0.3,0.5,0,0.41,0.11
273,0.71,0.5,0.5,0.18,0.5,0,0.46,0.748045254
274,0.38,0.32,0.64,0.41,0.5,0,0.44,0.11
275,0.47,0.43,0.61,0.4,0.5,0,0.48,0.47
276,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27
277,0.8,0.88,0.36,0.39,0.5,0,0.56,0.33
278,0.56,0.48,0.58,0.27,0.5,0,0.51,0.22
279,0.41,0.39,0.44,0.34,0.5,0,0.685122318,0.4
280,0.39,0.45,0.53,0.18,0.5,0,0.54,0.22
281,0.41,0.52,0.41,0.11,0.5,0,0.54,0.35
282,0.43,0.42,0.54,0.22,0.5,0,0.57,0.33
283,0.54,0.52,0.54,0.2,0.5,0,0.55,0.241006575
284,0.36,0.941723178,0.51,0.17,0.5,0,0.6,0.19
285,0.33,0.48,0.55,0.16,0.5,0,0.53,0.75
286,0.55,0.51,0.54,0.2,0.5,0,0.56,0.22
287,0.42,0.65,0.58,0.34,0.5,0,0.5,0.22
288,0.42,0.28,0.51,0.23,0.5,0.191446861,0.53,0.27
289,0.47,0.47,0.54,0.19,0.5,0,0.51,0.33
290,0.6,0.48,0.725823205,0.32,0.636620977,0,0.4,0.33
291,0.47,0.539447636,0.48,0.51,0.5,0,0.54,0.22
292,0.61,0.53,0.59,0.17,0.5,0,0.44,0.28
293,0.66,0.6,0.52,0.68533736,0.5,0,0.69,0.22
294,0.57,0.48,0.54,0.22,0.5,0,0.5,0.11
295,0.85,0.66,0.49,0.18,0.810275255,0,0.51,0.22
296,0.3,0.33,0.55,0.12,0.5,0,0.53,0.38
297,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22
298,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.141580756
299,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3
300,0.42,0.37,0.59,0.2,0.5,0,0.52,0.29
301,0.46,0.44,0.52,0.11,0.5,0,0.5,0.22
302,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4
303,0.58,0.47,0.54,0.11,0.66475539,0,0.51,0.26
304,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22
305,0.977799269,0.53,0.43,0.44,0.5,0,0.5,0.22
306,0.57,0.53,0.53,0.34,0.5,0,0.53,0.12032179
307,0.64,0.59,0.56,0.23,0.5,0,0.46,0.22
308,0.38,0.49,0.53,0.19,0.5,0,0.5,0.22
309,0.45,0.58,0.48,0.67,0.5,0,0.52,0.22
310,0.37,0.32,0.47,0.18,0.5,0,0.45,0.25
311,0.6,0.5,0.44,0.61,0.5,0,0.47,0.22
312,0.33,0.43,0.64,0.16,0.5,0,0.52,0.52
313,0.49,0.61,0.49,0.25,0.5,0,0.5,0.28
314,0.47,0.52,0.5,0.4,0.5,0,0.41,0.22
315,0.47,0.39,0.55,0.24,0.5,0,0.183785683,0.22
316,0.44,0.59,0.36,0.16,0.5,0,0.52,0.22
317,0.45,0.882366391,0.5,0.6,0.5,0,0.49,0.22
318,0.47,0.41,0.66,0.855670374,0.5,0,0.53,0.22
319,0.53,0.51,0.55,0.05,0.5,0.020124519,0.45,0.25
320,0.29,0.32,0.58,0.15,0.5,0,0.5,0.3
321,0.54,0.49,0.49,0.2,0.807470677,0,0.52,0.22
322,0.42,0.51,0.5,0.12,0.5,0,0.52,0.46
323,0.57,0.289400445,0.53,0.18,0.5,0,0.56,0.25
324,0.49,0.31,0.754319529,0.35,0.5,0,0.51,0.29
325,0.37,0.58,0.44,0.51,0.5,0,0.44,0.22
326,0.35,0.66,0.49,0.21,0.5,0,0.54,0.25
327,0.52,0.4,0.6,0.12,0.5,0,0.55,0.22
328,0.57,0.41,0.59,0.24,0.5,0,0.4,0.22
329,0.58,0.56,0.45,0.12,0.5,0,0.51,0.22
330,0.31,0.46,0.54,0.52,0.5,0,0.5,0.34
331,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22
332,0.44,0.68,0.45,0.51,0.5,0,0.52,0.41
333,0.55,0.42,0.34,0.3,0.5,0,0.52,0.22
334,0.36,0.68,0.38,0.08,0.5,0.75910951,0.53,0.25
335,0.43,0.39,0.54,0.14,0.5,0,0.47,0.22
336,0.173483145,0.42,0.41,0.16,0.5,0,0.52,0.22
337,0.37,0.53,0.46,0.030454796,0.5,0,0.47,0.22
338,0.58,0.6,0.43,0.12,0.5,0,0.55,0.22
339,0.54,0.65,0.49,0.34,0.5,0,0.52,0.22
340,0.58,0.53,0.38,0.18,0.5,0,0.52,0.22
341,0.35,0.6,0.47,0.13,0.5,0,0.52,0.43
342,0.35,0.46,0.49,0.15,1,0,0.55,0.35
343,0.63,0.62,0.42,0.12,0.5,0,0.52,0.25
344,0.71,0.387463554,0.53,0.15,0.5,0,0.243932404,0.33
345,0.46,0.35,0.33,0.17,0.5,0,0.55,0.22
346,0.35,0.56,0.36,0.3,0.5,0,0.53,0.25
347,0.51,0.58,0.54,0.29,0.5,0,0.53,0.22
348,0.44,0.51,0.37,0.15,0.5,0,0.51,0.22
349,0.42,0.39,0.47,0.13,0.819998709,0,0.5,0.27
350,0.17,0.38,0.45,0.09,0.5,0,0.54,0.27
351,0.48,0.39,0.49,0.18,0.5,0,0.51,0.22
352,0.74,0.53,0.5,0.08,0.5,0,0.55,0.31
353,0.409565661,0.48,0.38,0.15,0.5,0,0.55,0.830490371
354,0.3,0.5,0.47,0.11,0.5,0,0.46,0.22
355,0.4,0.48,0.5,0.17,0.5,0,0.54,0.5
356,0.47,0.49,0.63,0.17,0.5,0,0.31,0.26
357,0.53,0.43,0.47,0.15,0.5,0,0.58,0.22
358,0.46,0.45,0.56,0.16,0.5,0,0.56,0.664981241
359,0.5,0.45,0.49,0.15,0.526738584,0,0.55,0.43
360,0.33,0.28,0.31,0.24,0.5,0,0.53,0.22
361,0.61,0.54,0.49,0.19,0.5,0,0.54,0.47
362,0.51,0.68,0.49,0.59,0.505150889,0,0.54,0.27
363,0.55,0.49,0.5,0.46,0.5,0,0.52,0.25
364,0.5,0.46,0.52,0.16,0.5,0,0.52,0.26
365,0.35,0.58981484,0.47,0.22,0.5,0,0.5,0.28
366,0.43,0.51,0.6,0.25,0.5,0,0.381799586,0.22
367,0.68,0.5,0.43,0.27,0.5,0,0.61,0.22
368,0.59,0.53,0.47,0.26,0.5,0,0.53,0.31
369,0.268006733,0.51,0.54,0.52,0.5,0,0.47,0.25
370,0.86,0.92,0.5,0.37,1,0,0.53,0.32
371,0.42,0.51,0.39,0.22,0.5,0,0.49,0.26
372,0.51,0.43,0.47,0.19,0.5,0,0.52,0.37
373,0.44,0.53,0.43,0.374042418,0.5,0,0.54,0.75
374,0.39,0.37,0.33,0.23,0.5,0,0.53,0.318689229
375,0.48,0.51,0.57,0.24,0.5,0,0.5,0.797246029
376,0.68,0.58,0.51,0.19,0.5,0.83,0.54,0.22
377,0.51,0.47,0.41,0.44,0.5,0,0.5,0.22
378,0.708665343,0.44,0.45,0.22,0.5,0,0.51,0.22
379,0.46,0.57,0.52,0.28,0.5,0,0.52,0.22
380,0.53,0.48,0.45,0.44,0.5,0,0.49,0.27
381,0.7,0.53,0.395276722,0.22,0.504760754,0,0.51,0.28
382,0.68,0.68,0.49,0.15,0.5,0,0.53,0.22
383,0.409852391,0.6,0.35,0.21,0.5,0,0.52,0.22
384,0.55,0.49,0.45,0.18,0.5,0,0.49,0.22
385,0.4,0.47,0.48,0.18,0.5,0,0.46,0.22
386,0.8,0.81,0.55,0.35,0.915507028,0,0.42,0.22
387,0.48,0.47,0.54,0.55,0.5,0.637899013,0.51,0.65
388,0.66,0.66,0.758718958,0.902272237,0.5,0,0.51,0.22
389,0.58,0.905670009,0.46,0.34,0.5,0,0.5,0.945891572
390,0.6,0.62,0.54,0.4,0.5,0,0.5,0.22
391,0.52,0.5,0.59,0.31,0.5,0,0.5,0.22
392,0.45,0.38,0.64,0.14,0.5,0,0.54,0.22
393,0.6,0.57,0.64,0.52,0.5,0.229231355,0.47,0.28
394,0.57,0.61,0.55,0.27,0.5,0,0.44,0.21
395,0.38,0.54,0.54,0.41,0.5,0,0.51,0.22
396,0.43,0.32,0.5,0.29,0.5,0,0.5,0.22
397,0.32,0.45,0.44,0.2,0.5,0,0.55,0.33
398,0.51,0.6,0.51,0.26,0.5,0,0.54,0.22
399,0.49,0.46,0.42,0.46,0.5,0,0.55,0.22
400,0.51,0.56,0.551691361,0.24,0.5,0,0.52,0.51
401,0.58,0.57,0.54,0.69,0.5,0,0.54,0.22
402,0.55,0.53,0.54,0.4,0.5,0,0.48,0.22
403,0.41,0.47,0.58,0.62,0.5,0,0.5,0.22
404,0.44,0.53,0.53,0.239620531,0.5,0,0.51,0.22
405,0.47,0.46,0.55,0.28,0.5,0.705399495,0.44,0.46
406,0.41,0.59,0.46,0.19,0.5,0.049816422,0.36,0.22
407,0.44,0.41,0.29,0.67446804,0.5,0,0.49,0.22
408,0.886479622,0.46,0.54,0.41,0.5,0,0.53,0.22
409,0.5,0.36,0.53,0.41,0.5,0,0.55,0.957465581
410,0.59,0.58,0.595318473,0.52,0.5,0,0.5,0.31
411,0.78,0.63,0.53,0.13,0.5,0,0.54,0.22
412,0.48,0.62,0.52,0.3,0.954903068,0,0.51,0.37
413,0.419614698,0.34,0.68,0.032548168,0.5,0,0.544963226,0.29
414,0.4,0.53,0.44,0.18,0.5,0,0.54,0.31
415,0.36,0.3,0.5,0.19,0.543290805,0,0.55,0.983986524
416,0.45,0.21,0.49,0.24,0.5,0,0.46,0.31
417,0.87,0.47,0.6,0.47,0.5,0,0.59,0.22
418,0.51,0.34,0.49,0.16,0.5,0,0.53,0.21
419,0.78,0.65,0.4,0.16,0.5,0,0.63,0.22
420,0.68,0.59,0.44,0.49,0.5,0,0.4,0.26
421,0.5,0.51,0.57,0.27,0.5,0,0.48,0.605412866
422,0.51,0.46,0.57,0.476774968,0.5,0,0.53,0.22
423,0.49,0.45,0.46,0.18,0.5,0,0.49,0.31
