,f1,f2,f3,f4,f5,f6,f7,f8,label
327,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,NUC
328,0.36,0.68,0.46,0.16,0.5,0,0.53,0.28,NUC
329,0.42,0.31,0.5,0.15,0.5,0,0.53,0.22,NUC
330,0.67,0.71,0.52,0.65,0.5,0,0.53,0.36,NUC
331,0.26,0.5,0.33,0.28,0.5,0,0.51,0.22,ME3
332,0.31,0.44,0.53,0.23,0.5,0,0.51,0.32,NUC
333,0.38,0.68,0.44,0.45,0.5,0,0.53,0.22,MIT
334,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,CYT
335,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,CYT
336,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26,MIT
337,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22,MIT
338,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22,MIT
339,0.5,0.52,0.6,0.51,0.5,0,0.48,0.22,MIT
340,0.77,0.79,0.58,0.23,0.5,0,0.48,0.22,EXC
341,0.82,0.75,0.54,0.23,0.5,0,0.46,0.22,EXC
342,0.4,0.56,0.48,0.14,0.5,0,0.47,0.22,MIT
343,0.42,0.57,0.72,0.22,0.5,0,0.57,0.22,MIT
344,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,POX
345,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,NUC
346,0.27,0.36,0.6,0.33,0.5,0,0.37,0.31,NUC
347,0.35,0.4,0.59,0.22,0.5,0,0.47,0.37,NUC
348,0.83,0.58,0.33,0.04,0.5,0,0.53,0.22,ME2
349,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,CYT
350,0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,CYT
351,0.92,0.61,0.4,0.22,0.5,0,0.54,0.22,ME2
352,0.55,0.56,0.45,0.14,0.5,0,0.54,0.22,CYT
353,0.63,0.61,0.41,0.22,0.5,0,0.51,0.22,ME3
354,0.34,0.38,0.45,0.19,0.5,0,0.51,0.22,ME2
355,0.77,0.8,0.51,0.4,1,0,0.54,0.22,ERL
356,0.57,0.61,0.45,0.26,0.5,0,0.5,0.22,CYT
357,0.25,0.4,0.51,0.18,0.5,0,0.5,0.27,CYT
358,0.54,0.57,0.52,0.19,0.5,0,0.59,0.67,NUC
359,0.42,0.52,0.4,0.17,0.5,0,0.5,0.26,ME3
360,0.91,0.77,0.34,0.47,0.5,0,0.52,0.31,ME1
361,0.41,0.39,0.51,0.52,0.5,0,0.49,0.22,CYT
362,0.69,0.6,0.5,0.31,0.5,0,0.55,0.22,CYT
363,0.55,0.66,0.57,0.32,0.5,0,0.57,0.34,CYT
364,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27,NUC
365,0.31,0.31,0.54,0.18,0.5,0,0.52,0.29,NUC
366,0.91,0.69,0.57,0.45,0.5,0,0.56,0.22,ME2
367,0.59,0.43,0.52,0.19,0.5,0,0.55,0.27,CYT
368,0.49,0.31,0.34,0.13,0.5,0,0.52,0.22,ME3
369,0.58,0.48,0.56,0.1,0.5,0,0.46,0.25,NUC
370,0.58,0.48,0.56,0.12,0.5,0,0.46,0.25,NUC
371,0.58,0.45,0.48,0.24,0.5,0,0.52,0.37,CYT
372,0.41,0.6,0.53,0.29,0.5,0,0.47,0.43,NUC
373,0.69,0.5,0.49,0.42,0.5,0,0.49,0.22,MIT
374,0.21,0.38,0.49,0.16,0.5,0,0.51,0.45,CYT
375,0.46,0.57,0.57,0.15,0.5,0,0.52,0.26,NUC
376,0.57,0.59,0.5,0.58,0.5,0,0.53,0.22,MIT
377,0.44,0.42,0.62,0.14,0.5,0,0.55,0.37,NUC
378,0.39,0.39,0.55,0.52,0.5,0,0.37,0.16,NUC
379,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28,NUC
380,0.53,0.53,0.53,0.17,0.5,0,0.49,0.37,NUC
381,0.32,0.34,0.61,0.17,0.5,0,0.52,0.32,NUC
382,0.41,0.43,0.5,0.28,0.5,0,0.5,0.22,CYT
383,0.49,0.4,0.34,0.26,0.5,0,0.5,0.22,ME3
384,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22,POX
385,0.53,0.56,0.49,0.46,0.5,0,0.52,0.22,MIT
386,0.51,0.52,0.48,0.5,0.5,0,0.51,0.22,MIT
