,f1,f2,f3,f4,f5,f6,f7,f8,o
94,0.81,0.728686244,0.32,0.37,0.5,0,0.571120469,0.22,ME2
95,0.42,0.25,0.6,0.14,0.95679905,0,0.45,0.22,CYT
96,0.67,0.63,0.34,0.41,0.5,0,0.6,0.164585712,ME1
97,0.57,0.49,0.99804034,0.16,0.593715569,0.809502823,0.51,0.22,NUC
98,0.43,0.32,0.281664146,0.27,0.5,0,0.47,0.27,NUC
99,0.84,0.87,0.45,0.54,0.5,0,0.479699606,0.22,ME1
100,0.89,0.82,0.6,0.49,0.5,0.543484382,0.55,0.22,ME2
101,0.37,0.55,0.29,0.174001649,0.5,0,0.51,0.057958646,ME3
102,0.52,0.48,0.54,0.28,0.987502752,0,0.54,0.22,NUC
103,0.52,0.62,0.54,0.19,0.930660241,0.131634468,0.5,0.22,MIT
104,0.46,0.4,0.38,0.590941784,0.830501134,0,0.49,0.22,ME3
105,0.5,0.45,0.48,0.17,0.5,0,0.5,0.26,CYT
106,0.39,0.37,0.33,0.23,0.5,0,0.52,0.26,ME3
107,0.41,0.41,0.51,0.19,0.5,0,0.57,0.22,MIT
108,0.5,0.49,0.52,0.2,0.5,0,0.43,0.52,NUC
109,0.32,0.431003712,0.55,0.25,0.5,0,0.045686927,0.22,MIT
110,0.49,0.48,0.46,0.63,0.5,0,0.52,0.22,MIT
111,0.34,0.54,0.54,0.986198515,0.89770601,0.238313335,0.52,0.22,CYT
112,0.43,0.83,0.55,0.2,0.5,0.686533849,0.47,0.4,NUC
113,0.36,0.4,0.53,0.48,0.5,0,0.655859982,0.589078371,MIT
114,0.57,0.9714179,0.594114061,0.74618082,0.5,0.445517028,0.48,0.11,MIT
115,0.42,0.53,0.53,0.64,0.5,0,0.668322015,0.105775102,MIT
116,0.41,0.52,0.53,0.41,0.5,0,0.39,0.33,MIT
117,0.677898358,0.824483816,0.807036347,0.326339499,0.5,0,0.546563171,0.448068663,MIT
118,0.64,0.64,0.677693917,0.21,0.830201733,0,0.5,0.675613696,MIT
119,0.53,0.52,0.61,0.35,0.5,0.754155518,0.5,0.22,MIT
120,0.858114596,0.59,0.47,0.64,0.5,0,0.464223793,0.33,MIT
121,0.54,0.822652079,0.5,0.16153496,0.5,0,0.49,0.22,MIT
122,0.589185613,0.611973395,0.35,0.27,0.5,0,0.44,0.22,ME1
123,0.49,0.44,0.45,0.55,0.5,0,0.48,0.22,MIT
124,0.63,0.47,0.56,0.12,0.5,0.350117072,0.347644584,0.22,MIT
125,0.51,0.65,0.53,0.19,0.5,0,0.026011698,0.22,EXC
126,0.42,0.28,0.57,0.18,0.5,0,0.42,0.22,NUC
127,0.45,0.41,0.579324298,0.48,0.5,0.15911312,0.53,0.64,NUC
128,0.9,0.30961101,0.408854802,0.2,0.5,0.450044307,0.48,0.22,NUC
129,0.762049226,0.59,0.54,0.857946178,0.5,0,0.41,0.3,NUC
130,0.69,0.62,0.550701051,0,1,0,0.47,0.22,NUC
131,0.668560754,0.38,0.38,0.12,0.5,0,0.5,0.22,ME2
132,0.39,0.42,0.376765425,0.1,0.5,0,0.49,0.803022863,NUC
133,0.307787184,0.415976526,0.827937408,0.14,0.5,0,0.59,0.396839963,MIT
134,0.571980509,0.27,0.57,0.18,0.5,0.83,0.605670137,0.22,POX
135,0.64,0.52,0.5,0.26,0.5,0,0.269773486,0.31,NUC
136,0.6,0.897824252,0.91845068,0.225516202,0.5,0,0.52,0.27,MIT
137,0.49,0.285349045,0.53,0.460507111,0.5,0,0.49,0.31,CYT
138,0.497512714,0.46,0.51,0.18,0.727925929,0,0.5,0.249697599,CYT
139,0.55,0.671651999,0.52,0.1,0.5,0.755539501,0.53,0.22,CYT
140,0.33,0.38,0.45,0.249801729,0.5,0,0.49849743,0.37,NUC
141,0.41,0.48,0.38,0.13,0.660319246,0,0.51,0.35,ME3
142,0.51,0.46,0.49,0.21,0.5,0,0.490573265,0.22,VAC
143,0.4,0.557225277,0.699618283,0.15,0.5,0,0.53,0.22,VAC
144,0.59,0.58,0.47,0.326712628,0.5,0.795096026,0.158932224,0.3,MIT
145,0.62,0.167943373,0.49,0.29,0.5,0,0.5,0.27,CYT
146,0.48,0.42,0.730700827,0.19,0.828864403,0,0.58,0.22,CYT
147,0.47,0.61,0.5,0.23,0.5,0,0.49,0.22,ME3
148,0.27,0.56,0.3,0.14,0.5,0,0.52,0.39,ME3
149,0.38,0.48,0.51,0.13,0.5,0.187104059,0.323589006,0.32,NUC
150,0.49,0.71,0.54,0.13,0.5,0,0.244626294,0.22,NUC
151,0.63,0.55,0.53,0.51,0.5,0,0.55,0.22,VAC
152,0.56,0.48,0.5,0.17,0.554199041,0,0.7258673,0.26,CYT
153,0.62,0.751585723,0.52,0.17,0.5,0,0.48,0.22,NUC
154,0.997361917,0.47,0.53,0.19,0.5,0,0.48,0.22,CYT
155,0.396196185,0.59,0.47,0.47,0.98959038,0,0.53,0.22,MIT
156,0.33,0.28,0.5,0.4,0.5,0,0.46,0.61,NUC
157,0.45,0.558212583,0.49,0.672747193,0.5,0,0.49,0.930112457,NUC
158,0.41,0.52,0.56,0.734394037,0.5,0,0.48,0.32,NUC
159,0.517918315,0.47,0.51,0.53,0.5,0,0.53,0.192079614,CYT
160,0.57,0.860059933,0.52,0.16,0.5,0,0.49,0.922974433,NUC
161,0.64,0.44,0.51,0.35,0.5,0,0.53,0.22,CYT
162,0.968951642,0.43,0.5,0.25,0.622931189,0,0.47,0.436956361,MIT
163,0.5,0.36,0.69017645,0.827571325,0.915910403,0,0.37,0.33,NUC
164,0.43,0.44,0.64,0.840060323,0.5,0,0.38,0.33,NUC
165,0.662247002,0.532356247,0.57,0.36,0.5,0,0.44,0.21,CYT
166,0.734459384,0.130122968,0.53,0.27,0.5,0,0.47,0.29,NUC
167,0.4,0.3,0.57,0.13,0.5,0,0.46,0.22,NUC
168,0.44,0.5,0.651815512,0.908234799,0.5,0,0.48,0.22,NUC
169,0.447910345,0.352315129,0.633661826,0.14,0.9363918,0,0.49,0.22,NUC
170,0.37,0.3,0.51,0.15,0.526420966,0,0.58,0.26,NUC
171,0.57,0.43,0.5908734,0.3,0.5,0,0.37,0.11,CYT
172,0.44,0.968062925,0.52,0.18,0.5,0,0.5,0.086530327,CYT
173,0.36,0.56,0.52,0.18,0.5,0.656454188,0.45,0.16,CYT
174,0.454133835,0.37,0.63,0.38,0.5,0,0.4,0.14,CYT
175,0.44,0.36,0.64,0.45,0.5,0,0.53,0.11,CYT
176,0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,CYT
177,0.54,0.44,0.55,0.48,0.5,0,0.47,0.22,CYT
178,0.69,0.54,0.55,0.23,0.985664157,0,0.190497912,0.159611424,CYT
179,0.46,0.39,0.54,0.945583984,0.5,0.390007575,0.48,0.25,CYT
180,0.46,0.39,0.54,0.250663363,0.5,0,0.016219898,0.25,CYT
181,0.42,0.5,0.64,0.13,0.5,0,0.49,0.22,CYT
182,0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,CYT
183,0.51,0.52,0.58,0.719182656,0.5,0,0.47,0.28,CYT
184,0.6,0.57,0.52,0.14,0.5,0,0.46,0.48,NUC
185,0.56,0.65,0.49,0.56,0.5,0,0.49,0.994102565,MIT
186,0.54,0.841998424,0.4,0.56,0.5,0,0.51,0.22,MIT
187,0.6,0.51,0.401042525,0.18,0.620168065,0,0.53,0.38,CYT
188,0.34,0.46,0.2942983,0.19,0.5,0.655710076,0.53,0.26,CYT
189,0.44,0.71,0.5,0.21,0.639075861,0,0.54,0.27,CYT
190,0.56,0.49,0.32,0.428503123,0.5,0,0.5,0.22,ME2
191,0.44,0.51,0.53,0.3,0.5,0,0.53,0.22,CYT
192,0.52,0.55,0.39,0.811845483,1,0,0.55,0.25,ME3
193,0.85,0.69,0.34,0.190837526,0.5,0,0.57,0.3,ME1
194,0.594598824,0.56,0.53,0.44,0.5,0,0.53,0.386236139,MIT
195,0.45,0.41,0.53,0.49,0.5,0,0.49,0.692766463,NUC
196,0.56,0.175856042,0.858755145,0.240080682,0.5,0,0.54,0.549322427,CYT
197,0.37,0.480792176,0.49,0.12,0.5,0,0.47,0.31,NUC
198,0.32,0.6,0.48,0.13,0.5,0.294627582,0.53,0.22,NUC
199,0.48,0.432521819,0.58,0.18,0.5,0.814138177,0.38,0.61584795,NUC
200,0.54,0.5,0.51,0.26,0.5,0,0.52,0.22,CYT
201,0.6,0.64,0.56,0.36,0.5,0.810983539,0.46,0.27,CYT
202,0.27,0.41,0.24,0.2,0.5,0,0.49,0.22,ME3
203,0.25,0.35,0.36872134,0.18,0.5,0,0.328376946,0.22,ME3
204,0.39,0.45,0.51,0.128071874,0.733064026,0.596931067,0.694182823,0.22,CYT
205,0.66,0.43,0.57,0.6,0.5,0,0.19,0.33,NUC
206,0.51,0.5,0.54,0.11,0.5,0.061239603,0.6,0.954253543,NUC
207,0.574398882,0.45,0.51,0.827781253,0.5,0,0.53,0.25,CYT
208,0.429262446,0.43,0.46,0.004675428,0.5,0.559428608,0.45,0.29,NUC
209,0.182486087,0.68,0.51,0.16,0.5,0.83,0.55,0.22,POX
210,0.352656587,0.52,0.59,0.433020306,0.5,0.040137571,0.51,0.22,NUC
211,0.960285643,0.953384556,0.54,0.35,0.5,0,0.53,0.46,NUC
212,0.918785775,0.6,0.42,0.18,0.5,0,0.58,0.799692811,NUC
213,0.53,0.233365022,0.51,0.18,0.5,0.337673528,0.500861257,0.27,CYT
214,0.49,0.31,0.43,0.24,0.5,0.212337167,0.023628527,0.22,ME3
215,0.46,0.486962936,0.43,0.18,0.624118884,0,0.681571496,0.22,ME3
216,0.32,0.36,0.28,0.38,0.92819371,0,0.5,0.065992768,ME3
217,0.45,0.57,0.604771433,0.21,0.5,0,0.54,0.38,NUC
218,0.39,0.39,0.232054705,0.16,0.515653317,0,0.428657811,0.22,CYT
219,0.41,0.35,0.6,0.22,0.5,0,0.56,0.79,CYT
220,0.41,0.39,0.61,0.17,0.5,0,0.01522497,0.61,NUC
221,0.54,0.67,0.56,0.15,0.5,0,0.57,0.36901074,NUC
222,0.41,0.59,0.65,0.14,0.928743611,0.661934112,0.49,0.33,NUC
223,0.718251878,0.38,0.5,0.26161029,0.5,0,0.49,0.47,NUC
224,0.42,0.5,0.59,0.17,0.652024401,0,0.51,0.906999883,CYT
225,0.230356687,0.820793092,0.51,0.12,0.583404809,0.385385061,0.51,0.22,CYT
226,0.47,0.46,0.53,0.12,0.801117741,0,0.51,0.25,NUC
227,0.57,0.29,0.63,0.22,0.5,0,0.49,0.40834824,NUC
228,0.41,0.95116342,0.432945292,0.17,0.5,0,0.48,0.58,NUC
229,0.42,0.45,0.75,0.21,0.5,0,0.48,0.139520099,CYT
230,0.63,0.138425735,0.53,0.27,0.5,0,0.49,0.22,CYT
231,0.4,0.44,0.5,0.13,0.5,0.460567056,0.52,0.807497464,CYT
232,0.373853037,0.39,0.478217466,0.112477007,0.957333541,0,0.5,0.83,ME3
233,0.943633351,0.36,0.611295219,0.25,0.5,0,0.54,0.25,CYT
234,0.45,0.76,0.51,0.25,0.562671044,0,0.59,0.22,CYT
235,0.59,0.600971341,0.44,0.26,0.5,0,0.5,0.589346685,CYT
236,0.53,0.42,0.53,0.367121863,0.5,0,0.684041103,0.957398995,CYT
237,0.234879887,0.46,0.925713902,0.17,0.5,0,0.061128564,0.205388405,CYT
238,0.460051645,0.47,0.62,0.969103106,0.514835049,0.791423826,0.38,0.22,CYT
239,0.751868912,0.7,0.46,0.495943666,0.5,0,0.54,0.44,CYT
240,0.53,0.44,0.54,0.52,0.5,0,0.49,0.38,NUC
241,0.154898228,0.28,0.58,0.44,0.5,0,0.41,0.22,CYT
242,0.44,0.35,0.55,0.14,0.876108071,0,0.52,0.22,VAC
243,0.48,0.49,0.49,0.26,0.5,0,0.39,0.27,VAC
244,0.491795878,0.63,0.47,0.22,0.5,0,0.576838098,0.27,CYT
245,0.49,0.53,0.36,0.15,0.778848177,0.2700568,0.52,0.27,ME3
246,0.71,0.590076217,0.41,0.38,0.5,0,0.54,0.22,ME1
247,0.26,0.3,0.37,0.15,0.5,0,0.38869517,0.25,ME3
248,0.4,0.44,0.47,0.25,0.684878343,0,0.729877753,0.56,NUC
249,0.29,0.39,0.46,0.36,0.5,0,0.10349316,0.22,NUC
250,0.43,0.526376713,0.4,0.12,0.5,0,0.49,0.29,ME3
251,0.226910525,0.668233451,0.516533588,0.33,0.5,0.610040743,0.55,0.22,ME3
252,0.3,0.7548009,0.41,0.17,0.5,0.398503818,0.161064838,0.22,ME3
253,0.69,0.473542154,0.39,0.19,0.5,0,0.48,0.39,ME2
254,0.51,0.527215866,0.42,0.21,0.5,0,0.46,0.34,ME3
255,0.960660205,0.54,0.56,0.18,0.5,0,0.625151202,0.29,NUC
256,0.94953515,0.64,0.42,0.139563703,0.5,0,0.43,0.22,EXC
257,0.58,0.44,0.45,0.435452891,0.5,0,0.52,0.37,NUC
258,0.48,0.58,0.47,0.17,0.819275784,0,0.145368055,0.74,CYT
259,0.704723427,0.37,0.36,0.14,0.5,0,0.54,0.22,ME3
260,0.4,0.4,0.44,0.756613528,0.962933473,0,0.502062118,0.25,NUC
261,0.8,0.79,0.43,0.25,0.5,0,0.52,0.22,EXC
262,0.49,0.56,0.37,0.2,0.5,0.472858247,0.53,0.359094291,ME3
263,0.49,0.55,0.35,0.23,0.5,0,0.57,0.709744314,ME3
264,0.47,0.5,0.7513827,0.63,0.5,0,0.38,0.16,CYT
265,0.58,0.721541876,0.49,0.16,0.5,0,0.47,0.909625595,MIT
266,0.85,0.85,0.917141753,0.31,0.839308031,0.031812423,0.55,0.904889422,ME1
267,0.41,0.25,0.59,0.44,0.5,0,0.6,0.69,NUC
268,0.57,0.727990289,0.49,0.86,0.5,0,0.47,0.917774931,NUC
269,0.5,0.61,0.44,0.2,0.5,0,0.49,0.119055454,MIT
270,0.41,0.45,0.46,0.23,0.5,0,0.5,0.7,CYT
271,0.32,0.29,0.29,0.08,0.5,0,0.52,0.22,ME3
272,0.38,0.48,0.749431819,0.3,0.5,0,0.41,0.11,CYT
273,0.71,0.5,0.96475942,0.18,0.5,0,0.46,0.824046873,CYT
274,0.774486499,0.32,0.64,0.280342331,0.5,0.719025624,0.44,0.11,CYT
275,0.47,0.582492835,0.61,0.4,0.5,0,0.48,0.47,NUC
276,0.436129986,0.45,0.53,0.19,0.5,0,0.59,0.27,CYT
277,0.8,0.386535705,0.36,0.39,0.5,0,0.29468392,0.33,ME1
278,0.56,0.48,0.253449288,0.27,0.825314823,0,0.51,0.22,CYT
279,0.41,0.39,0.44,0.34,0.5,0,0.48,0.4,NUC
280,0.39,0.446042183,0.53,0.18,0.5,0,0.54,0.22,CYT
281,0.852988602,0.52,0.41,0.303798382,0.5,0,0.54,0.715739477,CYT
282,0.43,0.42,0.54,0.22,0.5,0.414507092,0.082857288,0.33,NUC
283,0.54,0.52,0.54,0.2,0.5,0.123373636,0.55,0.73297969,NUC
284,0.36,0.215930802,0.51,0.17,0.5,0.580402157,0.6,0.19,NUC
285,0.33,0.48,0.55,0.565054714,0.5,0.593531055,0.53,0.776613507,NUC
286,0.55,0.51,0.212921032,0.2,0.5,0,0.617334221,0.22,CYT
287,0.42,0.65,0.58,0.34,0.5,0,0.152797392,0.22,MIT
288,0.368120881,0.28,0.51,0.28896288,0.672081089,0.74253001,0.53,0.27,NUC
289,0.47,0.47,0.300035178,0.717219348,0.5,0,0.51,0.33,NUC
290,0.6,0.48,0.46,0.32,0.5,0,0.247714521,0.33,CYT
291,0.47,0.247956006,0.70781504,0.51,0.5,0,0.327352482,0.22,MIT
292,0.61,0.53,0.59,0.17,0.871066388,0,0.44,0.28,CYT
293,0.66,0.6,0.52,0.19,0.645481719,0.656330251,0.69,0.22,CYT
294,0.57,0.48,0.459416273,0.167578493,0.5,0,0.5,0.11,CYT
295,0.85,0.908296141,0.455167933,0.18,0.5,0,0.51,0.22,ME1
296,0.3,0.33,0.55,0.036858065,0.5,0,0.307940965,0.38,CYT
297,0.43,0.67,0.48,0.858531399,0.566321797,0.179471355,0.679173386,0.22,MIT
298,0.66692488,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT
299,0.745645793,0.39,0.6,0.15,0.5,0,0.58,0.70794898,CYT
300,0.42,0.37,0.905558751,0.2,0.630799669,0,0.52,0.29,NUC
301,0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,CYT
302,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,CYT
303,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,NUC
304,0.45,0.70733322,0.708815244,0.16,0.822669529,0,0.5,0.22,CYT
305,0.59,0.53,0.43,0.44,0.615099043,0,0.5,0.22,MIT
306,0.153954098,0.53,0.53,0.145113887,0.985450173,0,0.53,0.385948162,MIT
307,0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,CYT
308,0.38,0.49,0.368857968,0.19,0.5,0.100889382,0.5,0.490224448,CYT
309,0.45,0.58,0.48,0.67,0.585505164,0,0.52,0.22,MIT
310,0.37,0.32,0.47,0.18,0.5,0,0.45,0.685484584,NUC
311,0.6,0.920773985,0.44,0.61,0.5,0,0.47,0.22,MIT
312,0.33,0.756943691,0.64,0.16,0.5,0,0.52,0.52,NUC
313,0.49,0.61,0.49,0.25,0.5,0,0.5,0.680479557,CYT
314,0.47,0.897582642,0.5,0.714569062,0.5,0,0.222908338,0.22,CYT
315,0.47,0.39,0.55,0.24,0.5,0,0.47,0.22,CYT
316,0.44,0.59,0.36,0.233812776,0.5,0,0.52116203,0.22,ME3
317,0.957749395,0.45,0.842482851,0.6,0.5,0,0.49,0.22,MIT
318,0.47,0.41,0.66,0.26,0.780143092,0,0.53,0.22,MIT
319,0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,NUC
320,0.29,0.32,0.58,0.15,0.5,0,0.5,0.3,CYT
321,0.54,0.49,0.49,0.2,0.5,0,0.52,0.22,CYT
322,0.42,0.51,0.306741243,0.12,0.998200235,0,0.52,0.46,NUC
323,0.57,0.51,0.576403429,0.18,0.5,0,0.56,0.64022367,NUC
324,0.49,0.31,0.49,0.35,0.5,0,0.51,0.29,NUC
325,0.37,0.58,0.831009022,0.51,0.5,0,0.44,0.22,MIT
326,0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,CYT
327,0.558241428,0.247889665,0.6,0.12,0.5,0,0.55,0.22,CYT
328,0.396590481,0.41,0.59,0.24,0.5,0,0.4,0.22,CYT
329,0.711401187,0.679695279,0.607139835,0.12,0.5,0,0.51,0.020086886,NUC
330,0.31,0.46,0.54,0.52,0.5,0,0.5,0.34,NUC
331,0.38,0.397797072,0.920816215,0.17,0.5,0,0.55,0.477821058,CYT
332,0.44,0.68,0.45,0.51,0.782657167,0,0.52,0.41,MIT
333,0.55,0.452314844,0.710711419,0.3,0.5,0,0.221432448,0.22,ME3
334,0.36,0.68,0.277192353,0.08,0.5,0.49274355,0.53,0.25,VAC
335,0.43,0.39,0.54,0.14,0.5,0,0.080269446,0.519387131,NUC
336,0.54,0.42,0.41,0.741117092,0.728025102,0,0.52,0.171515917,ME2
337,0.37,0.53,0.46,0.23,0.5,0,0.534831493,0.334935027,NUC
338,0.58,0.313413114,0.43,0.12,0.982169591,0,0.55,0.22,ME3
339,0.54,0.65,0.49,0.34,0.5,0.244540282,0.52,0.22,CYT
340,0.58,0.53,0.38,0.18,0.5,0,0.52,0.22,ME3
341,0.35,0.6,0.469085673,0.382520751,0.5,0,0.52,0.43,NUC
342,0.35,0.46,0.49,0.15,1,0,0.55,0.35,CYT
343,0.63,0.62,0.42,0.823383914,0.5,0,0.698514898,0.25,CYT
344,0.71,0.59,0.53,0.15,0.5,0.710058698,0.49,0.890133849,CYT
345,0.46,0.950138484,0.961147011,0.730609875,0.5,0,0.055559714,0.22,ME3
346,0.35,0.56,0.36,0.118781273,0.5,0,0.091269469,0.25,ME3
347,0.51,0.58,0.54,0.29,0.5,0,0.53,0.22,CYT
348,0.44,0.51,0.37,0.15,0.5,0,0.51,0.22,ME3
349,0.42,0.39,0.47,0.13,0.5,0,0.111676059,0.27,CYT
350,0.17,0.38,0.45,0.09,0.5,0,0.54,0.27,NUC
351,0.48,0.39,0.49,0.18,0.5,0,0.51,0.22,CYT
352,0.74,0.53,0.5,0.08,0.5,0,0.55,0.386716498,CYT
